Organization,Year,Month,Request Number,Summary,Disposition,Number of Pages
Elections Canada,2012,06,A-2012-00018,"The e-mail exchanges that preceded and followed the enclosed e-mail chains between Allan Sperling and Trevor Knight between December 2, 2011 and January 5, 2012. (Three e-mail chains provided by applicant.)",Disclosed in part,17
Elections Canada,2012,06,A-2012-00019,"Any and all documentation, briefing notes, e-mails and correspondence about registration certificates from the May 2, 2011, general election that are missing from polls 426, 031 and 089 in the electoral district of Etobicoke Centre.",Disclosed in part,110
Elections Canada,2012,06,A-2012-00020,The total and estimated costs for the most recent All Party Consultation Committee [sic] meetings held by Elections Canada.,Disclosed in part,11
Elections Canada,2012,06,A-2012-00021,"All documents since February 1, 2011, including briefing notes, backgrounders, correspondence, e-mails, media lines, complaints, audits, etc., regarding the campaign activities of Environmental Defence in the riding of Thornhill.",No records exist,0
Elections Canada,2012,06,A-2012-00022,"Any and all documents, including e-mails, related to filling the position COM-20331 in the Publications section at Elections Canada between January 1, 2009 and July 31, 2009.",Disclosed in part,78
Elections Canada,2012,06,A-2012-00023,"A complete copy of each deliverable resulting from the following research contract or other report resulting from those contracts: 10-15868, 10-16190, 10-16009, 11-16812, and 10-15868.",Disclosed in part,2
Elections Canada,2012,06,A-2012-00024,"Complete copies of all correspondence (letters, e-mails, etc.) between Chief Electoral Officer Marc Mayrand and all individuals, government officials other than Elections Canada officials, political parties, ministers (including the Prime Minister), members of Parliament, organizations and institutions. This request covers the period from April 20 to May 31 inclusively for the responses issued by the Chief Electoral Officer. For all the responses issued by the Chief Electoral Officer, a copy of the correspondence received by the Chief Electoral Officer must be included.",Disclosed in part,53
Elections Canada,2012,06,A-2012-00025,"Complete lists of briefing notes prepared for or transmitted to the Chief Electoral Officer from April 20, 2012, to May 25, 2012.",Disclosed in part,9
Elections Canada,2012,06,A-2012-00027,All call-ups processed in the National Capital Region under the terms of any standing offer and/or supply arrangement for temporary help services during the period May 2012.,Disclosed in part,4
Elections Canada,2012,06,A-2012-00028,"Documentation which indicates all appointments of term and casual employees by this institution, in the National Capital Region, under the terms of the Public Service Employment Act during the period May 2012.",All disclosed,1
Elections Canada,2012,07,A-2011-00105,"All documents, including reports, correspondence, briefing notes, media lines, talking points, complaints, e-mails, etc., regarding the Broadbent Institute and the New Democratic Party offering a tax credit for donations to it since August 1, 2011.",Disclosed in part,75
Elections Canada,2012,07,A-2011-00107,"All documents, including reports, correspondence, briefing notes, media lines, talking points, financial statements, e-mails, etc., regarding complaints submitted to Elections Canada regarding the activities of Avaaz during the 2008 federal election.",Disclosed in part,44
Elections Canada,2012,07,A-2011-00109,"All records relating to investigation #EO8-432, conducted by Elections Canada on: 1. spoofed automated calls urging residents in the riding of Saanich–Gulf Islands to vote for the New Democratic Party candidate in 2008
2. activities of third party groups, according to the original complaint in the 2008 federal election
 This request also includes all internal documents touching on or relating to the above-referenced communications.",Disclosed in part,38
Elections Canada,2012,07,A-2011-00111,"All documents, including e-mails, talking points, media lines, backgrounders, briefing notes, correspondence, reports, etc., regarding Internet campaigns by Leadnow.ca, Avaaz and the Council of Canadians to submit complaints to Elections Canada since February 21, 2012.",Disclosed in part,50
Elections Canada,2012,07,A-2011-00118,"Records relating to all instances in which investigators operating under the authority of the Commissioner of Canada Elections have given an “official caution” to an individual in relation to an investigation between the dates of May 2, 2011, and March 9, 2012.",All exempted,0
Elections Canada,2012,07,A-2012-00026,"A complete copy of each deliverable resulting from each of the following research contracts or any other report resulting from those contracts: EKOS Research Associates, Michel Bastarache, John Dickinson Professional Corp., Marketel/McCann-Erickson Ltd., Delsys Research Group Inc. and Burton Group Inc.",Disclosed in part,220
Elections Canada,2012,07,A-2012-00029,"All documents, including reports, correspondence, briefing notes, media lines, talking points, complaints, e-mails, memos, reviews, etc., regarding the sponsorships of events by labour unions at the 2011 federal New Democratic Party convention since June 1, 2011.",Disclosed in part,100
Elections Canada,2012,07,A-2012-00030,"All documents, including e-mails, reports, media lines, talking points, memos, reviews, audits, correspondence, etc., regarding the Elections Canada reviews of election spending in the riding of Peterborough during the 2008 federal election.",Disclosed in part,8
Elections Canada,2012,07,A-2012-00031,Documentation and correspondence in relation to the handling and response for access to information request A-2011-00134.,Disclosed in part,69
Elections Canada,2012,07,A-2012-00032,"E-mails, letters, phone logs and other correspondence between the member of Parliament for Peterborough or his office or official agent and Elections Canada officials or investigators, as well as any e-mails or memos among Elections Canada officials or investigators, regarding election spending by the member. This request relates to the period between October 14, 2008 and June 13, 2012.",Disclosed in part,6
Elections Canada,2012,07,A-2012-00037,"All documents, including reviews, reports, e-mails, talking points, media lines, backgrounders, briefing notes, correspondence, etc., regarding allegations of leaks to the media by Elections Canada staff since January 1, 2007.",Disclosed in part,11
Elections Canada,2012,07,A-2012-00038,"List of donors and sponsors who contributed over $10 toward the campaign of Caroline Rioux, a Green Party candidate, as well as any outstanding liens and judgments against her.",All excluded,0
Elections Canada,2012,07,A-2012-00039,All call-ups processed in the National Capital Region under the terms of any standing offer and/or supply arrangement for temporary help services during the period June 2012.,No records exist,0
Elections Canada,2012,07,A-2012-00040,"Documentation which indicates all appointments of term and casual employees by this institution, in the National Capital Region, under the terms of the Public Service Employment Act during the period: June 2012.",All disclosed,1
Elections Canada,2012,07,A-2012-00044,"Copies of any training material or schedules provided to returning officers since July 1, 2010.",Disclosed in part,4
Elections Canada,2012,08,A-2012-00013,"Provide copies of documents, including e-mails, reports, media lines, talking points, memos, reviews, audits, lessons learned, etc., regarding the contract with the Assembly of First Nations for phone calls during the 2011 federal election, since March 24, 2011.",Disclosed in part,574
Elections Canada,2012,08,A-2012-00041,"Provide a log of any e-mails sent to or received from any @parl.gc.ca e-mail address since February 1, 2012.",Disclosed in part,32
Elections Canada,2012,08,A-2012-00042,"Provide a log of any e-mails sent to or received from any @liberal.ca e-mail address since February 1, 2012.",Disclosed in part,14
Elections Canada,2012,08,A-2012-00043,"Provide copies of any communication mentioning Brad Lavigne, Anne McGrath, Jamie Girard, Dan Hilton, Chris Rougier, Kevin Bosch or Alf Apps between January 1, 2011 and September 1, 2011 within the Electoral Events Sector of Elections Canada.",Disclosed in part,48
Elections Canada,2012,08,A-2012-00045,"Provide copies of any communication regarding data quality of the National Register of Electors between any of the following individuals since January 1, 2011: Marc Mayrand, Vivian Cousineau, Stéphane Perrault, Maurice Bastarache, Daniel Larrivée, Nan Smith, Juergen Weltner and Louise Lussier.",Disclosed in part,147
Elections Canada,2012,08,A-2012-00048,"Provide the names of individuals (private, commercial, corporate, lobbyist, etc.) that financially donated to the 2011 and 2008 federal campaigns of Diane Finley (Haldimand–Norfolk riding) and the 2011 federal campaign of Kerry-Lynne D. Findlay (Delta–Richmond East riding).",All excluded,0
Elections Canada,2012,08,A-2012-00049,"A complete list of all outside investigators, legal services or other contractors retained in relation to the Commissioner of Canada Elections' investigation of alleged false or misleading telephone calls made during the 41st general election, including the amounts they were paid, the dates of the contracts and work descriptions.",All disclosed,2
Elections Canada,2012,09,A-2012-00046,"Provide copies of any communication between any of the following individuals regarding the Conservative Party of Canada, the Liberal Party of Canada, or the New Democratic Party of Canada since January 1, 2011: Marc Mayrand, Vivian Cousineau, Margot Parent, Stephane Perrault, Audrey Nowack, Marie-José Régimbal.",Disclosed in part,41
Elections Canada,2012,09,A-2012-00054,"Provide copies of all documents, including briefing notes, backgrounders, correspondence, e-mails, media lines, complaints, audits, etc., regarding the campaign activities of Environmental Defence in the riding of Thornhill during the 2011 federal election, since May 1, 2012.",No records exist,0
Elections Canada,2012,10,A-2012-00033,"Records related to the audit file for Dean Del Mastro, including the audit conducted by the Political Financing sector's Audit Directorate, the audit notes and the contact log summary, for the 2008 and 2011 general elections. Include contacts with Del Mastro's campaign manager and official agent as well as with Del Mastro himself.",Disclosed in part,941
Elections Canada,2012,10,A-2012-00052,"Copies of all communications received from Leadnow.ca or its representatives since February 21, 2012.",Disclosed in part,44
Elections Canada,2012,10,A-2012-00053,"Copies of all communications received from the Council of Canadians or its representatives since February 21, 2012.",Disclosed in part,14
Elections Canada,2012,10,A-2012-00055,Copies of the e-mail exchanges listed on the accompanying pages (extracts from records disclosed in response to access to information request A-2012-00042).,Disclosed in part,122
Elections Canada,2012,10,A-2012-00057,"All Temporary Help Services, Supply Arrangement and Standing Offer call-ups issued in the National Capital Region for the months of April, May, June, July and August 2012.",Disclosed in part,6
Elections Canada,2012,10,A-2012-00061,A breakdown of the Conservative Party's campaign expenditures during the 41st general election.,All excluded,0
Elections Canada,2012,11,A-2012-00058,"All records and reports concerning the investigation into misleading phone calls and robocalls during 2011 federal elections, including all correspondence between Allan Matthews and Elections Canada, Marc Mayrand, the Commissioner of Canada Elections, Director of Public Prosecutions Brian Saunders and the Public Prosecution Service of Canada from May 2011 to the present date.",Disclosed in part,140
Elections Canada,2012,11,A-2012-00064,"Reports, memos, briefing notes to the Chief Electoral Officer regarding Internet, electronic or virtual voting sent between January 1, 2011 to October 1, 2012.",All Disclosed,240
Elections Canada,2012,12,A-2012-00062,Copies of all call-ups or task authorizations made under Supply Arrangement 05005-08-13013 (Information Technology Renewal Supply Arrangement),All disclosed,639
Elections Canada,2012,12,A-2012-00066,"All documents since September 1, 2012, including briefing notes, backgrounders, correspondence, e-mails, media lines, complaints, audits, etc., regarding the campaign activities of Environmental Defence in the riding of Thornhill during the 2011 federal election.",No records exist,0
Elections Canada,2012,12,A-2012-00070,"All documents, including e-mails, talking points, backgrounders, briefing notes, correspondence, reports, etc., regarding irregularities during the 41st general election in the riding of Ajax–Pickering.",Nothing disclosed,0
Elections Canada,2012,12,A-2012-00073,"Any list of official agents for candidates or political parties who participated in Elections Canada training prior to or during the 41st general election, as well as any correspondence, reports or e-mails about that training referring to or including Reg Bowers and/or Peter Penashue.",Disclosed in part,51
FedDev Ontario,2013,11,A-2013-07,"1) Copies of all audits, evaluations, and assessments of FedDev Ontario Programs. 
2) Any records regarding the improper spending of federal money by approved recipients.","1) Disclosed in part
 
2) No records exist","1) 277
 

2) 0"
FedDev Ontario,2013,10,A-2013-05,"A copy of the briefing book prepared for the Minister of State for the July 15, 2013 cabinet shuffle.",Disclosed in part,381
FedDev Ontario,2013,09,A-2013-06,All records related to the decision to fund St. Michael's College School's rehabilitation of the Hillcrest Village community recreation facilities under the Community Infrastructure Improvement Fund.,Disclosed in part,37
FedDev Ontario,2013,09,A-2013-08,"All details pertaining to your active photocopier lease agreements. All information pertaining to the purchase of printers, scanners and fax machines within the last 4 years.",All disclosed,2
FedDev Ontario,2013,07,A-2013-01,Funding agreements/contracts of FedDev Ontario for the Connected Health and Wellness Project. First draft and final signed version only.,Disclosed in part,101
FedDev Ontario,2013,07,A-2013-03,Agreement between FedDev Ontario and Southern Ontario Fund for Investment in Innovation (SOFII).,All disclosed,79
FedDev Ontario,2013,06,A-2012-26,"A copy of the final written report titled “Foreign Direct Investment and Southern Ontario: Implications, options and opportunities for the region and FedDev Ontario” prepared by Ference Weicker & Company. Also include any and all briefing material created in relation to this report.",All disclosed,137
FedDev Ontario,2013,06,A-2013-04,Evaluation of the Southern Ontario Development Program Phase 1.,No records exist,0
FedDev Ontario,2013,05,A-2012-23,"All records sent or received by the president, from January 1 to December 21, 2012, identifying the effectiveness of and value gained from grants and investments made by the Federal Economic Development Agency for Southern Ontario.",Disclosed in part,380
FedDev Ontario,2013,05,A-2012-09,"All records related to the Federal Economic Development Agency for Southern Ontario's April 10, 2012 funding announcement for the University of Toronto and its joint project with a consortium of universities and IBM. Exclude any draft internal communications products, but include all final versions.",Disclosed in part,1280
FedDev Ontario,2013,04,A-2012-22,"Three lists detailing all contributions, claims, and repayments made under the Investing in Business Innovation (IBI) program along with the final payment calculation worksheet for each recipient and any evaluations or audits of individual grants as well as any reports, briefing notes, audits, status updates of the IBI program.",Disclosed in part,340
FedDev Ontario,2013,04,A-2012-24,"All records pertaining to City of Hamilton funding requests to the Community Infrastructure Improvement Fund (CIIF) between August 14, 2012 and February 1, 2013.",Disclosed in part,368
FedDev Ontario,2013,04,A-2012-25,A copy of the tables and working papers that identify clearly and accurately the calculations for the Outcome Based Funding model for each of the 37 Community Futures Development Corporations under the jurisdiction of FedDev Ontario.,All disclosed,74
FedDev Ontario,2013,02,A-2012-20,"All records related to the Procurement Strategy for Aboriginal Business (PSAB) for fiscal years 2010, 2011, and 2012. For fiscal year 2012, records up to December 17, 2012.",All disclosed,36
FedDev Ontario,2013,01,A-2012-21,"Final version of the report titled ""Foreign Direct Investment and Southern Ontario: Implications, options and opportunities for the region and FedDev Ontario"" prepared for FedDev Ontario by Ference Weicker and Company and all related briefing material.",No records exist,0
FedDev Ontario,2012,12,A-2012-10,"FedDev Ontario Agency Renewal Project, outlining the profile, expected results and monitoring and evaluation – all deliverables produced to date.",Disclosed in Part,144
FedDev Ontario,2012,12,A-2012-14,"The “Community Futures Program – Performance Report”, Provided to FedDev Ontario by Stats Can, dated November 2011 and any subsequent report for the 2009-2010 fiscal year.",All disclosed,22
FedDev Ontario,2012,12,A-2012-17,"Evaluation and analysis of data collected for older pre-SOA projects, intended to Inform the Agency Review, including any draft or interim version if final versions not yet complete.",Disclosed in part,79
FedDev Ontario,2012,11,A-2012-07,All records associated with the $10 million FedDev Ontario contribution to the Vaughan Health Campus of Care.,Disclosed in Part,3916
FedDev Ontario,2012,11,A-2012-08,"All records detailing the $1,175,200 granted to the Vaughan Health Campus of Care through FedDev Ontario's Prosperity Initiative.",Disclosed in Part,696
FedDev Ontario,2012,11,A-2012-13,The most recent Community Futures Quarterly Report.,All disclosed,6
FedDev Ontario,2012,11,A-2012-18,"Evaluation of the Community Adjustment Fund South (CAF-South), as per Treasury Board requirements.",No records exist,0
FedDev Ontario,2012,10,A-2012-11,"PMS Implementation Reviews for the Recreational Infrastructure Canada Fund, Southern Ontario Development Program, and Community Futures Programs.",All disclosed,150
FedDev Ontario,2012,10,A-2012-12,Summary report on Recreational Infrastructure Canada.,All disclosed,31
FedDev Ontario,2012,09,A-2012-01,"Records related to the $10 million dollar investment by FedDev Ontario in Dr. Oetker's planned frozen pizza plant in London, Ontario.",Disclosed in Part,432
FedDev Ontario,2012,09,A-2012-05,All records related to the Sheridan College application under the Technology Development Program of FedDev Ontario.,Disclosed in Part,1680
FedDev Ontario,2012,08,A-2012-04,"Financial records submitted by and to Vaughan Health Campus of Care between May 20, 2011 and March 31, 2012, inclusive.",Disclosed in part,369
FedDev Ontario,2012,07,A-2012-03,The legal opinion obtained by the Federal Government concerning the independence of Community Future Development Corporations and the ownership of their investment funds.,No records exist,0
FedDev Ontario,2012,07,A-2012-06,"A summary of all recipients of funding by the Federal Economic Development Agency for Southern Ontario in excess of $1,000,000, including the programs under which they were funded.",All Disclosed,4
FedDev Ontario,2012,05,AF-2011-00016,"Records regarding FedDev Ontario Southern Ontario's Community Adjustment Fund created between January 1, 2011, and June 30, 2011 – more specifically about number of jobs created.",Disclosed in Part,16
FedDev Ontario,2012,05,AF-2011-00017,"Records regarding FedDev Ontario Southern Ontario's Community Adjustment Fund created between July 1, 2011, and January 26, 2012 – more specifically about number of jobs created.",Disclosed in Part,139
FedDev Ontario,2012,03,AF-2011-00015,Specific documents in reference to project # 509109 Vaughan Health Campus of Care.,Disclosed in Part,952
FedDev Ontario,2012,02,AF-2011-00006,"All briefing material, including briefing books, prepared for Ministers. Time frame is from April 20, 2011 to May 20, 2011.",Disclosed in Part,416
FedDev Ontario,2012,02,AF-2011-00011,"Copy of the Federal Economic Development Agency for Southern Ontario briefing book submitted to the Minister after the May 2, 2011 election.",Disclosed in Part,222
FedDev Ontario,2012,02,AF-2011-00014,"The Draft Environmental Assessment & associated technical and review studies related to the ""Colborne Street Demolition EA"" in Brantford, ON., CEAR reference #10-01-53699",All disclosed,246
FedDev Ontario,2012,01,AF-2011-00012,"Copies of the following contracts awarded over the past 12 months to: Centra Industries, Goderich Aerospace and Northstar",Disclosed in Part,111
FedDev Ontario,2013,11,A-2013-07,"1) Copies of all audits, evaluations, and assessments of FedDev Ontario Programs. 
2) Any records regarding the improper spending of federal money by approved recipients.","1) Disclosed in part
 
2) No records exist","1) 277
 

2) 0"
FedDev Ontario,2013,10,A-2013-05,"A copy of the briefing book prepared for the Minister of State for the July 15, 2013 cabinet shuffle.",Disclosed in part,381
FedDev Ontario,2013,09,A-2013-06,All records related to the decision to fund St. Michael's College School's rehabilitation of the Hillcrest Village community recreation facilities under the Community Infrastructure Improvement Fund.,Disclosed in part,37
FedDev Ontario,2013,09,A-2013-08,"All details pertaining to your active photocopier lease agreements. All information pertaining to the purchase of printers, scanners and fax machines within the last 4 years.",All disclosed,2
FedDev Ontario,2013,07,A-2013-01,Funding agreements/contracts of FedDev Ontario for the Connected Health and Wellness Project. First draft and final signed version only.,Disclosed in part,101
FedDev Ontario,2013,07,A-2013-03,Agreement between FedDev Ontario and Southern Ontario Fund for Investment in Innovation (SOFII).,All disclosed,79
FedDev Ontario,2013,06,A-2012-26,"A copy of the final written report titled “Foreign Direct Investment and Southern Ontario: Implications, options and opportunities for the region and FedDev Ontario” prepared by Ference Weicker & Company. Also include any and all briefing material created in relation to this report.",All disclosed,137
FedDev Ontario,2013,06,A-2013-04,Evaluation of the Southern Ontario Development Program Phase 1.,No records exist,0
FedDev Ontario,2013,05,A-2012-23,"All records sent or received by the president, from January 1 to December 21, 2012, identifying the effectiveness of and value gained from grants and investments made by the Federal Economic Development Agency for Southern Ontario.",Disclosed in part,380
FedDev Ontario,2013,05,A-2012-09,"All records related to the Federal Economic Development Agency for Southern Ontario's April 10, 2012 funding announcement for the University of Toronto and its joint project with a consortium of universities and IBM. Exclude any draft internal communications products, but include all final versions.",Disclosed in part,1280
FedDev Ontario,2013,04,A-2012-22,"Three lists detailing all contributions, claims, and repayments made under the Investing in Business Innovation (IBI) program along with the final payment calculation worksheet for each recipient and any evaluations or audits of individual grants as well as any reports, briefing notes, audits, status updates of the IBI program.",Disclosed in part,340
FedDev Ontario,2013,04,A-2012-24,"All records pertaining to City of Hamilton funding requests to the Community Infrastructure Improvement Fund (CIIF) between August 14, 2012 and February 1, 2013.",Disclosed in part,368
FedDev Ontario,2013,04,A-2012-25,A copy of the tables and working papers that identify clearly and accurately the calculations for the Outcome Based Funding model for each of the 37 Community Futures Development Corporations under the jurisdiction of FedDev Ontario.,All disclosed,74
FedDev Ontario,2013,02,A-2012-20,"All records related to the Procurement Strategy for Aboriginal Business (PSAB) for fiscal years 2010, 2011, and 2012. For fiscal year 2012, records up to December 17, 2012.",All disclosed,36
FedDev Ontario,2013,01,A-2012-21,"Final version of the report titled ""Foreign Direct Investment and Southern Ontario: Implications, options and opportunities for the region and FedDev Ontario"" prepared for FedDev Ontario by Ference Weicker and Company and all related briefing material.",No records exist,0
FedDev Ontario,2012,12,A-2012-10,"FedDev Ontario Agency Renewal Project, outlining the profile, expected results and monitoring and evaluation – all deliverables produced to date.",Disclosed in Part,144
FedDev Ontario,2012,12,A-2012-14,"The “Community Futures Program – Performance Report”, Provided to FedDev Ontario by Stats Can, dated November 2011 and any subsequent report for the 2009-2010 fiscal year.",All disclosed,22
FedDev Ontario,2012,12,A-2012-17,"Evaluation and analysis of data collected for older pre-SOA projects, intended to Inform the Agency Review, including any draft or interim version if final versions not yet complete.",Disclosed in part,79
FedDev Ontario,2012,11,A-2012-07,All records associated with the $10 million FedDev Ontario contribution to the Vaughan Health Campus of Care.,Disclosed in Part,3916
FedDev Ontario,2012,11,A-2012-08,"All records detailing the $1,175,200 granted to the Vaughan Health Campus of Care through FedDev Ontario's Prosperity Initiative.",Disclosed in Part,696
FedDev Ontario,2012,11,A-2012-13,The most recent Community Futures Quarterly Report.,All disclosed,6
FedDev Ontario,2012,11,A-2012-18,"Evaluation of the Community Adjustment Fund South (CAF-South), as per Treasury Board requirements.",No records exist,0
FedDev Ontario,2012,10,A-2012-11,"PMS Implementation Reviews for the Recreational Infrastructure Canada Fund, Southern Ontario Development Program, and Community Futures Programs.",All disclosed,150
FedDev Ontario,2012,10,A-2012-12,Summary report on Recreational Infrastructure Canada.,All disclosed,31
FedDev Ontario,2012,09,A-2012-01,"Records related to the $10 million dollar investment by FedDev Ontario in Dr. Oetker's planned frozen pizza plant in London, Ontario.",Disclosed in Part,432
FedDev Ontario,2012,09,A-2012-05,All records related to the Sheridan College application under the Technology Development Program of FedDev Ontario.,Disclosed in Part,1680
FedDev Ontario,2012,08,A-2012-04,"Financial records submitted by and to Vaughan Health Campus of Care between May 20, 2011 and March 31, 2012, inclusive.",Disclosed in part,369
FedDev Ontario,2012,07,A-2012-03,The legal opinion obtained by the Federal Government concerning the independence of Community Future Development Corporations and the ownership of their investment funds.,No records exist,0
FedDev Ontario,2012,07,A-2012-06,"A summary of all recipients of funding by the Federal Economic Development Agency for Southern Ontario in excess of $1,000,000, including the programs under which they were funded.",All Disclosed,4
FedDev Ontario,2012,05,AF-2011-00016,"Records regarding FedDev Ontario Southern Ontario's Community Adjustment Fund created between January 1, 2011, and June 30, 2011 – more specifically about number of jobs created.",Disclosed in Part,16
FedDev Ontario,2012,05,AF-2011-00017,"Records regarding FedDev Ontario Southern Ontario's Community Adjustment Fund created between July 1, 2011, and January 26, 2012 – more specifically about number of jobs created.",Disclosed in Part,139
FedDev Ontario,2012,03,AF-2011-00015,Specific documents in reference to project # 509109 Vaughan Health Campus of Care.,Disclosed in Part,952
FedDev Ontario,2012,02,AF-2011-00006,"All briefing material, including briefing books, prepared for Ministers. Time frame is from April 20, 2011 to May 20, 2011.",Disclosed in Part,416
FedDev Ontario,2012,02,AF-2011-00011,"Copy of the Federal Economic Development Agency for Southern Ontario briefing book submitted to the Minister after the May 2, 2011 election.",Disclosed in Part,222
FedDev Ontario,2012,02,AF-2011-00014,"The Draft Environmental Assessment & associated technical and review studies related to the ""Colborne Street Demolition EA"" in Brantford, ON., CEAR reference #10-01-53699",All disclosed,246
FedDev Ontario,2012,01,AF-2011-00012,"Copies of the following contracts awarded over the past 12 months to: Centra Industries, Goderich Aerospace and Northstar",Disclosed in Part,111
Immigration and Refugee Board of Canada,2014,02,A-2013-00616,1) The list of designated representatives that the IRB uses 2) Any materials or manuals used for the training of designated representatives 3) Any memorandums and/or reports related to designated representatives. (Time frame: Aug. 11/11 to Aug. 28/13),Disclosed in part,574
Immigration and Refugee Board of Canada,2014,02,A-2013-01059,"The number of hearings held per month by each member in Montréal, from January 2013 to October 18, 2013 (RPD).",All disclosed,1
Immigration and Refugee Board of Canada,2014,02,A-2013-01440,The contract between the IRB and the law firm (RPD) used for people who need a designated representative in Toronto.,Disclosed in part,51
Immigration and Refugee Board of Canada,2014,02,A-2013-01442,"The number of cases heard per month by members in all regions, from September 2013 to the present (RPD).",All disclosed,7
Immigration and Refugee Board of Canada,2014,02,A-2013-01443,"The duration of hearings held by each member in each RPD office, from September 2013 to the present.",All disclosed,4
Immigration and Refugee Board of Canada,2014,02,A-2013-01535,"Statistics on admissibility hearings, detention reviews and appeals in 2013, broken down by country.",All disclosed,7
Immigration and Refugee Board of Canada,2014,02,A-2013-01600,A list for the GTA Refugee Protection Division for 2013 by Board member name of the number of negative decisions and positive decisions made by that member in 2013.,All disclosed,3
Immigration and Refugee Board of Canada,2014,02,A-2013-01698,"A list for the Ontario region of all Board members conducting detention reviews in 2013, along with the number of cases for each Board member where the client was released, and the number where the client’s detention was continued.",All disclosed,1
Immigration and Refugee Board of Canada,2014,02,A-2013-01700,"A list for the Ontario region of all Board members conducting detention reviews in 2008, along with the number of cases for each Board member where the client was released, and the number where the client’s detention was continued.",All disclosed,1
Immigration and Refugee Board of Canada,2014,02,A-2013-01701,Copies of any and all directives and/or instructions sent by Ottawa IRB HQ to Immigration Division Board members regarding instructions for detention reviews during 2010‑2013.,All disclosed,4
Immigration and Refugee Board of Canada,2014,02,A-2013-01708,"The number of decisions rendered by Member Gilles Éthier between 1997 and 2007, and his acceptance rate for claims.",All disclosed,1
Immigration and Refugee Board of Canada,2014,01,A-2013-00617,"Any and all communications, correspondence, memoranda of understanding, or reports on the migration of North Koreans (August 2011 to August 2013).",Disclosed in part,38
Immigration and Refugee Board of Canada,2014,01,A-2013-01437,The contract between the IRB and PRAIDA regarding designated representatives.,All disclosed,11
Immigration and Refugee Board of Canada,2014,01,A-2013-01438,"The amounts paid to PRAIDA by the IRB in 2012 (broken down by division, if possible).",All disclosed,1
Immigration and Refugee Board of Canada,2014,01,A-2013-01439,"The amounts paid to PRAIDA by the IRB since January 2013 (broken down by division, if possible).",All disclosed,1
Immigration and Refugee Board of Canada,2014,01,A-2013-01441,End‑of‑mandate dates for all Governor‑in‑Council members in all regions of Canada (RPD and IAD).,All disclosed,3
Immigration and Refugee Board of Canada,2014,01,A-2013-01444,Statistics for claims allowed and rejected (including the number of finalized cases) for each RPD member across Canada.,All disclosed,5
Immigration and Refugee Board of Canada,2014,01,A-2013-01473,"A list for the GTA for 2012 of now many people were released at a detention review as follows: at their 48 hr review, at their 7 day review, at their 30 day review or at a subsequent review.",All disclosed,1
Immigration and Refugee Board of Canada,2013,12,A-2013-00779,Copies of the narratives submitted as part of the PIF in the attached list of RPD claims. Please ensure that the RPD file number is clearly indicated in these documents. Note that I do not know the identity of these claimants.,Disclosed in part,542
Immigration and Refugee Board of Canada,2013,12,A-2013-00839,"I am looking for the source(s) of one such RIR. The document reference is ALB103902.E under section 7.14 of the May 2013 National Document Package. The title is “Attestation letters for blood feuds; issuing organizations; how letters are issued, etc.",All disclosed,3
Immigration and Refugee Board of Canada,2013,12,A-2013-01118,"Copies of list for all employees, their telephone numbers, as well as corresponding names and positions in possession of the IRB including the ID, IAD, RPD and the RAD.",Disclosed in part,53
Immigration and Refugee Board of Canada,2013,12,A-2013-01236,A list of all Board Members hearing detention reviews in the Greater Toronto Area along with how many times they agreed to release the detainee in 2012 and how many times they ordered continued detention of the detainee in 2012.,All disclosed,1
Immigration and Refugee Board of Canada,2013,12,A-2013-01293,Statistics for the following: The total number of cases that have indicated a forced marriage since the creation of the IRB in 1989. The number of cases citing a forced marriage that have been rejected/accepted.,All disclosed,2
Immigration and Refugee Board of Canada,2013,12,A-2013-01344,I would like to obtain a table showing the number of Alternative Dispute Resolution (ADR) cases heard at the IRB IAD for 2008 to 2013 broken down by region/city as well as success/failure for the year and region.,All Disclosed,3
Immigration and Refugee Board of Canada,2013,11,A-2013-00098,All training materials used to train Refugee Protection Division Members in their conduct of refugee hearings under the new refugee determination process (as established in 2012 under the Protecting Canada's Immigration System Act).,Disclosed in part,1976
Immigration and Refugee Board of Canada,2013,11,A-2013-00519,"All records, including but not limited to all audio recordings and transcripts, related to detention reviews and decisions regarding all non-Canadians working without authorization in the Windsor-Essex County region from January 1, 2012 to July 16, 2013.",Disclosed in part,539
Immigration and Refugee Board of Canada,2013,11,A-2013-00710,"All final RAD decisions decided between December 15, 2012 and June 30, 2013.",Disclosed in part,126
Immigration and Refugee Board of Canada,2013,11,A-2013-00778,"Reasons for decisions in all RPD cases in the attached list. In cases where the decisions are positive and written reasons are not available, please provide the in-chambers decisions.",Disclosed in part,1303
Immigration and Refugee Board of Canada,2013,11,A-2013-00803,"How many of these cases (from the IRB website's tab: Refugee Claims - Statistics, Trends and Projections graph) are separated children/unaccompanied minors?",All disclosed,1
Immigration and Refugee Board of Canada,2013,11,A-2013-01008,"1) Any amounts, charges, premiums or deductions owed to the Board; 2) any pending complaints before the Board; and 3) any civil claims or penal complaints made by the Board before any tribunals, and so on.",Does not exist,0
Immigration and Refugee Board of Canada,2013,11,A-2013-01016,"Information related to IRB files TB1-05076, TB1-05077, TB1-05852, TB1-07216: Copy of final consolidated exhibit list by the IRB, all indexes to documents filed as exhibits by minister's and claimant's counsel, all correspondence between registrar, case officers, member, etc.)",Disclosed in part,395
