Controlled Vocabularies,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
organizationName,,,,,,,,,,,,,,
Source: GC Registry of Applied Terms : http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
Source URL: http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
"Note: Used 'Applied Title' where applicable, if no 'Applied Title' use 'Legal Title'",,,,,,,,,,,,,,
Controlled Vocabulary,,,,,,,,,,,,,,
English,English Abbr.,English Alternate Name,English Homepage,French,French Abbr.,French Site Name,French Homepage,Department Identifier,Phone Number,Fax,Email,English Address,French Address,
Canadian Human Rights Commission,CHRC,Canadian Human Rights Commission,http://www.chrc-ccdp.gc.ca/eng,Commission canadienne des droits de la personne,CCDP,Commission canadienne des droits de la personne,http://www.chrc-ccdp.gc.ca/fra,113,613-943-8950,613-941-6810,ginette.bastien@chrc-ccdp.gc.ca,"Ginette Bastien
 Access to Information and Privacy Coordinator
 Canada Place
 344 Slater Street, 10th Floor
 Ottawa, Ontario  K1A 1E1","Ginette Bastien
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Édifice Canada
 344, rue Slater, 10e étage
 Ottawa, (Ontario)  K1A 1E1",
Canadian Institutes of Health Research,CIHR,Canadian Institutes of Health Research,http://www.cihr-irsc.gc.ca/e/193.html,Instituts de recherche en santé du Canada,IRSC,Instituts de recherche en santé du Canada,http://www.cihr-irsc.gc.ca/f/193.html,236,613-948-2284,613-954-1800,manon.vanriel@cihr-irsc.gc.ca,"Manon van Riel
 Access to Information and Privacy Coordinator
 160 Elgin Street 
Address Locator 4809A
 Ottawa, Ontario  K1A 0W9","Manon van Riel
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels 
160, rue Elgin
 Indice de l'adresse 4809A
 Ottawa, (Ontario)  K1A 0W9",
Canadian Intergovernmental Conference Secretariat,CICS,Canadian Intergovernmental Conference Secretariat,http://www.scics.gc.ca/english/view.asp?x=1,Secrétariat des conférences intergouvernementales canadiennes,SCIC,Secrétariat des conférences intergouvernementales canadiennes,http://www.scics.gc.ca/francais/view.asp?x=1,274,#N/A,#N/A,#N/A,#N/A,#N/A,
Canadian International Development Agency,CIDA,Canadian International Development Agency,http://www.acdi-cida.gc.ca/acdi-cida/acdi-cida.nsf/eng/home,Agence canadienne de développement international,ACDI,Agence canadienne de développement international,http://www.acdi-cida.gc.ca/acdi-cida/acdi-cida.nsf/fra/accueil,218,613-992-1425,613-995-0116,dcp@international.gc.ca,"Warren Mucci
A/Access to Information and Privacy Coordinator
125 Sussex Drive, C4-209
Ottawa, Ontario  K1A 0G2","Warren Mucci
Coordonnateur par Intérim de l'accès à l'information et de la protection des renseignements personnels
125, promenade Sussex, C4-209
Ottawa, Ontario  K1A 0G2",
Canadian International Trade Tribunal,CITT,Canadian International Trade Tribunal,http://www.citt-tcce.gc.ca/index_e.asp,Tribunal canadien du commerce extérieur,TCCE,Tribunal canadien du commerce extérieur,http://www.citt-tcce.gc.ca/index_f.asp,175,613-993-4717,613-998-1322,gillian.burnett@citt-tcce.gc.ca,"Gillian Burnett
 A/Access to Information and Privacy Coordinator
 333 Laurier Avenue West
 Ottawa, Ontario  K1A 0G7","Gillian Burnett
 Coordonnateur par Intérim de l'accès à l'information et de la protection des renseignements personnels
 333, avenue Laurier Ouest
 Ottawa, (Ontario)  K1A 0G7",
Canadian Museum for Human Rights,CMHR,Canadian Museum for Human Rights,http://museumforhumanrights.ca/home,Musée canadien pour les droits de la personne,MCDP,Musée canadien pour les droits de la personne,http://museepourlesdroitsdelapersonne.ca/accueil,267,204-289-2132,204-289-2001,Lisanne.Lambert@museumforhumanrights.ca,"Lisanne Lambert
 Access to Information and Privacy Coordinator
 269 Main Street
 Winnipeg, Manitoba  R3C 1B3","Lisanne Lambert
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 269, rue Main
 Winnipeg, Manitoba  R3C 1B3",
Canadian Museum of Civilization,CMC,Canadian Museum of Civilization Corporation,http://www.civilization.ca/home,Musée canadien des civilisations,MCC,Société du Musée canadien des civilisations,http://www.civilisations.ca/accueil/,263,819-776-8245,819-776-7196,gordon.butler@civilization.ca,"Gordon Butler
 Access to Information and Privacy Coordinator
 100 Laurier Street
 P.O. Box 3100, Station B
 Gatineau, Quebec  J8X 4H2","Gordon Butler
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 100, rue Laurier
 C.P. 3100, succursale B 
Gatineau, (Québec)  J8X 4H2",
Canadian Museum of Immigration at Pier 21,CMIP,Canadian Museum of Immigration at Pier 21,http://www.pier21.ca/home,Musée canadien de l'immigration du Quai 21,MCIQ,Musée canadien de l’immigration du Quai 21,http://www.quai21.ca/accueil,2,902-425-7770  Ext.266,902-423-4045,jtramble@pier21.ca,"Jennifer Tramble
 Access to Information and Privacy Coordinator
 1055 Marginal Road
 Halifax, Nova Scotia  B3H 4P7","Jennifer Tramble
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1055, chemin Marginal
 Halifax, Nouvelle-Écosse  B3H 4P7",
Canadian Museum of Nature,CMN,Canadian Museum of Nature,http://nature.ca/en/home,Musée canadien de la nature,MCN,Musée Canadien de la nature,http://nature.ca/fr/accueil,57,613-566-4738,613-364-4020,ibyrne@mus-nature.ca,"Irene Byrne
 Access to Information and Privacy Coordinator
 P.O. Box 3443, Station D
 Ottawa, Ontario  K1P 6P4","Irene Byrne
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 C.P. 3443, succursale D
 Ottawa, (Ontario)  K1P 6P4",
Canadian Northern Economic Development Agency,CanNor,Canadian Northern Economic Development Agency,http://www.cannor.gc.ca/index-eng.asp,Agence canadienne de développement économique du Nord,CanNor,Agence canadienne de développement économique du Nord,http://www.cannor.gc.ca/index-fra.asp,4,867-975-3732,867-975-3724,Rachel.Messier@cannor.gc.ca,"Rachel Messier
 Access to Information and Privacy Coordinator
 P.O. Box 40
 Inuksugait Plaza II, Bldg 1104
 Iqaluit, Nunavut  X0A 0H0","Rachel Messier
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 C.P. 40
 Inuksugait Plaza II, Édifice 1104
 Iqaluit, Nunavut  X0A 0H0",
Canadian Nuclear Safety Commission,CNSC,Canadian Nuclear Safety Commission,http://nuclearsafety.gc.ca/eng/,Commission canadienne de sûreté nucléaire,CCSN,Commission canadienne du sûreté nucléaire,http://nuclearsafety.gc.ca/fr/index.cfm,58,613-947-7669,613-995-5086,Philip.Dubuc@cnsc-ccsn.gc.ca,"Philip Dubuc
 Access to Information and Privacy Coordinator
 280 Slater Street
 P.O. Box 1046, Station B
 Ottawa, Ontario  K1P 5S9","Philip Dubuc
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 280, rue Slater
 C.P. 1046, succursale B
 Ottawa, (Ontario)  K1P 5S9",
Canadian Polar Commission,POLAR,Canadian Polar Commission,http://www.polarcom.gc.ca/eng,Commission canadienne des affaires polaires,POLAIRE,Commission canadienne des affaires polaires,http://www.polarcom.gc.ca/fra,143,613-943-0716,613-943-8607,bennettj@polarcom.gc.ca,"John Bennett
 Access to Information and Privacy Coordinator
 Constitution Square
 360 Albert Street, Suite 1710
 Ottawa, Ontario  K1R 7X7","John Bennett
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Carré Constitution
 360, rue Albert, pièce 1710
 Ottawa, (Ontario)  K1R 7X7",
Canadian Radio-television and Telecommunications Commission,CRTC,Canadian Radio-television and Telecommunications Commission,http://www.crtc.gc.ca/eng/home-accueil.htm,Conseil de la radiodiffusion et des télécommunications canadiennes,CRTC,Conseil de la radiodiffusion et des télécommunications canadiennes,http://www.crtc.gc.ca/fra/accueil-home.htm,126,819-997-4274,819-994-6337,mathieu.labine@crtc.gc.ca,"Mathieu Labine 
Access to Information and Privacy Coordinator
 Les Terrasses de la Chaudière
 1 Promenade du Portage, 5th Floor
 Gatineau, Quebec  K1A 0N2","Mathieu Labine 
Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Les Terrasses de la Chaudière
 1, Promenade du Portage, 5e étage
 Gatineau, (Québec)  K1A 0N2",
Canadian Security Intelligence Service,CSIS,Canadian Security Intelligence Service,https://www.csis-scrs.gc.ca/index-eng.asp,Service canadien du renseignement de sécurité,SCRS,Service canadien du renseignement de sécurité,https://www.csis-scrs.gc.ca/index-fra.asp,90,613-231-0107,613-842-1271,ATIP-AIPRP@smtp.gc.ca,"Nicole Jalbert
 Access to Information and Privacy Coordinator
 P.O. Box 9732 Station T
 Ottawa, Ontario  K1G 4G4","Nicole Jalbert
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 C.P. 9732, succursale T
 Ottawa, (Ontario)  K1G 4G4",
Canadian Space Agency,CSA,Canadian Space Agency,http://www.asc-csa.gc.ca/eng/default.asp,Agence spatiale canadienne,ASC,Agence spatiale canadienne,http://www.asc-csa.gc.ca/fra/,3,450-926-4866,450-926,danielle.bourgie@asc-csa.gc.ca,"Danielle Bourgie
 Access to Information and Privacy Coordinator
 6767 Airport Road
 Saint-Hubert, Quebec  J3Y 8Y9","Danielle Bourgie
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 6767, route de l' Aéroport
 Saint-Hubert, (Québec)  J3Y 8Y9",
Canadian Tourism Commission,CTC,Canadian Tourism Commission,http://en-corporate.canada.travel/,Commission canadienne du tourisme,CCT,Commission canadienne du tourisme,http://fr-corporate.canada.travel/,178,604-638-8325,604-638-8423,rahman.raya@ctc-cct.ca,"Raya Rahman
 Access to Information and Privacy Coordinator
 1055 Dunsmuir Street, Suite 1400
 P.O. Box 49230
 Vancouver, British Columbia  V7X 1L2","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1055, rue Dunsmuir, bureau 1400
 Boite Postale 49230
 Vancouver, (Columbie Britanique)  V7X 1L2",
Canadian Transportation Agency,CTA,Canadian Transportation Agency,https://www.otc-cta.gc.ca/eng/home,Office des transports du Canada,OTC,Office des transports du Canada,https://www.otc-cta.gc.ca/fra/accueil,124,819-994-2564,819-997-6727,patrice.bellerose@cta-otc.gc.ca,"Patrice Bellerose
 Access to Information and Privacy Coordinator
 Jules Léger Building
 15 Eddy Street
 Gatineau, Quebec  K1A 0N9","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Édifice Jules Leger
 15, rue Eddy
 Gatineau, (Québec)  K1A 0N9",
Citizenship and Immigration Canada,CIC,Citizenship and Immigration Canada,http://www.cic.gc.ca/english/index-can.asp,Citoyenneté et Immigration Canada,CIC,Citoyenneté et Immigration Canada,http://www.cic.gc.ca/francais/index-can.asp,94,1-800-667-6703,613-957-6517,ATIP-AIPRP@cic.gc.ca,"Patrice Bériault 
A/Access to Information and Privacy Coordinator
 Access to Information and Privacy Division
 Ottawa, Ontario  K1A 1L1","Patrice Bériault 
Coordonnateur par intérim, Accès à l'information et protection des renseignements personnels
 Division de l'Accès à l'information et protection des renseignements personnels
 Ottawa, (Ontario)  K1A 1L1",
Commission for Public Complaints Against the RCMP,CPC,Commission for Public Complaints Against the Royal Canadian Mounted Police,http://www.cpc-cpp.gc.ca/index-eng.aspx,Commission des plaintes du public contre la GRC,CPP,Commission des plaintes du public contre la Gendarmerie royale du Canada,http://www.cpc-cpp.gc.ca/index-fra.aspx,136,613-946-5216,613-952-8045,Rochelle.Boudreau@cpc-cpp.gc.ca,"Rochelle Boudreau
 Access to Information and Privacy Coordinator
 Bag Service 1722, Station B
 Ottawa, Ontario  K1P 0B3","Rochelle Boudreau
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Service de sac 1722, succursale B
 Ottawa, (Ontario)  K1P 0B3",
Communications Security Establishment Canada,CSEC,Communications Security Establishment Canada,http://www.cse-cst.gc.ca/index-eng.html,Centre de la sécurité des télécommunications Canada,CSTC,Centre de la sécurité des télécommunications Canada,http://www.cse-cst.gc.ca/index-fra.html,156,613-991-8443,613-991-7880,atip-aiprp@cse-cst.gc.ca,"P.O. Box 9703 
Terminal
 Ottawa, Ontario  K1G 3Z4","B.P. 9703
 Terminus
 Ottawa, (Ontario)  K1G 3Z4",
Copyright Board Canada,CB,Copyright Board of Canada,http://www.cb-cda.gc.ca/home-accueil-e.html,Commission du droit d'auteur du Canada,CDA,Commission du droit d'auteur Canada,http://www.cb-cda.gc.ca/home-accueil-f.html,116,613-946-7289,613-946-4451,nancy.laframboise@cb-cda.gc.ca,"Nancy Laframboise
 Access to Information and Privacy Coordinator
 56 Sparks Street, Suite 800
 Ottawa, Ontario  K1A 0C9","Nancy Laframboise
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 56, rue Sparks, bureau 800
 Ottawa, (Ontario)  K1A 0C9",
Corporation for the Mitigation of Mackenzie Gas Project Impacts,CMMGPI,,,Société d'atténuation des répercussions du projet gazier Mackenzie,SARPGM,,,1,#N/A,#N/A,#N/A,#N/A,#N/A,
Correctional Service of Canada,CSC,Correctional Service Canada,http://www.csc-scc.gc.ca/index-eng.shtml,Service correctionnel du Canada,SCC,Service correctionnel Canada,http://www.csc-scc.gc.ca/index-fra.shtml,193,613-992-8321,613-995-4412,pilongi@csc-scc.gc.ca,"Ginette Pilon
 A/Access to Information and Privacy Coordinator
 Sir Wilfrid Laurier Building
 340 Laurier Avenue West
 Ottawa, Ontario   K1A 0P9","Ginette Pilon
 Coordonnateur par Intérim de l'accès à l'information et de la protection des renseignements personnels
 Édifice Sir Wilfrid Laurier
 340, avenue Laurier Ouest
 Ottawa, (Ontario)   K1A 0P9",
Courts Administration Service,CAS,Courts Administration Service,http://cas-ncr-nter03.cas-satj.gc.ca/portal/page/portal/CAS/,Service administratif des tribunaux judiciaires,SATJ,Service administratif des tribunaux judiciaires,http://cas-ncr-nter03.cas-satj.gc.ca/portal/page/portal/SATJ/,228,#N/A,#N/A,#N/A,#N/A,#N/A,
Defence Construction Canada,DCC,Defence Construction Canada,http://www.dcc-cdc.gc.ca/english/,Construction de Défense Canada,CDC,Construction de Défense Canada,http://www.dcc-cdc.gc.ca/francais/,28,613-990-2867,613-998-1218,Alison.lawford@dcc-cdc.gc.ca,"Alison Lawford 
Access to Information and Privacy Coordinator
 Constitution Square
 350 Albert Street, 19th Floor
 Ottawa, Ontario  K1A 0K3","Constitution Square
 350, rue Albert, 19e étage
 Ottawa, (Ontario)  K1A 0K3",
Department of Finance Canada,FIN,Department of Finance Canada,http://www.fin.gc.ca/fin-eng.asp,Ministère des Finances Canada,FIN,Ministère des Finances Canada,http://www.fin.gc.ca/fin-fra.asp,157,613-992-6923,613-947-8331,janet.peszat@fin.gc.ca,"Janet Peszat
 Access to Information and Privacy Coordinator
 L'Esplanade Laurier, East Tower
 140 O'Connor Street, 5th Floor
 Ottawa, Ontario  K1A 0G5","Janet Peszat
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 L'Esplanade Laurier, tour Est
 140 , rue O'Connor, 5e étage
 Ottawa, (Ontario)  K1A 0G5",
Department of Justice,JUS,Department of Justice Canada,http://www.justice.gc.ca/eng/,Ministère de la Justice,JUS,Ministère de la Justice Canada,http://www.justice.gc.ca/fra/,119,613-954-1207,613-957-2303,FFarley@justice.gc.ca,"Francine Farley
 Access to Information and Privacy Coordinator
 275 Sparks Street, 9th Floor
 Ottawa, Ontario  K1A 0H8","Francine Farley
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 275, rue Sparks, 9e étage
 Ottawa, (Ontario)  K1A 0H8",
Department of Social Development,DSD,,,Ministère du Développement social,MDS,,,55556,#N/A,#N/A,#N/A,#N/A,#N/A,
Canada Economic Development for Quebec Regions,CED,Economic Development Agency of Canada for the Regions of Quebec,http://www.dec-ced.gc.ca/eng/index.html,Développement économique Canada pour les régions du Québec,DEC,Agence de développement économique du Canada pour les régions du Québec,http://www.dec-ced.gc.ca/fra/index.html,93,514-283-8176,514-283-8080,stephane.bordeleau@dec-ced.gc.ca,"Stéphane Bordeleau
 Access to Information and Privacy Coordinator
 Dominion Square Building
 1255 Peel Street, 9th Floor
 Montreal, Quebec  H3B 2T9","Stéphane Bordeleau
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Édifice Square Dominion
 1255, rue Peel, 9e étage
 Montreal, (Québec)  H3B 2T9",
Enterprise Cape Breton Corporation,ECBC,,http://www.ecbc.ca/index_intro.php?lang=e,Société d'expansion du Cap-Breton,SECB,,http://www.ecbc.ca/index_intro.php?cid=&pid=34&lang=f,203,902-564-3600,902-564-3825,da.landry@ecbc.ca,"D.A. Landry
 Access to Information and Privacy Coordinator
 Silicon Island
 70 Crescent Street
 Sydney, Nova Scotia  B1S 2Z7","D.A. Landry
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Silicon Island
 70, rue Crescent
 Sydney, (Nouvelle-Écosse)  B1S 2Z7",
Environment Canada,EC,Environment Canada,http://www.ec.gc.ca/?lang=En,Environnement Canada,EC,Environnement Canada,http://www.ec.gc.ca/Default.asp?lang=Fr,99,819-953-2743,819-953-0749,nancy.hamzawi@ec.gc.ca,"Nancy Hamzawi
 Access to Information and Privacy Coordinator
 Les Terrasses de la Chaudiere
 10 Wellington Street, 27th Floor
 Gatineau, Quebec  K1A 0H3","Nancy Hamzawi
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Les Terrasses de la Chaudiere
 10, rue Wellington, 27e étage
 Gatineau, (Québec)  K1A 0H3",
Exinvest Inc. (Export Development Canada),EXI,"Export Development Canada,Exinvest Inc.",http://www.edc.ca/EN/Pages/default.aspx,Exinvest Inc. (Exportations et développement Canada),,"Exportations et développement Canada,Exinvest Inc.",http://www.edc.ca/FR/Pages/default.aspx,62,613-598-6618,613-598-3835,bkeen@edc.ca,"Brenda Keen
 Access to Information and Privacy Coordinator
 150 Slater Street
 Ottawa, Ontario  K1A 1K3","Brenda Keen
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 150, rue Slater
 Ottawa, (Ontario)  K1A 1K3",
Export Development Canada,EDC,Export Development Canada,http://www.edc.ca/EN/Pages/default.aspx,Exportation et développement Canada,EDC,Exportation et développement Canada,http://www.edc.ca/FR/Pages/default.aspx,62,613-598-6618,613-598-3835,bkeen@edc.ca,"Brenda Keen
 Access to Information and Privacy Coordinator
 150 Slater Street
 Ottawa, Ontario  K1A 1K3","Brenda Keen
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 150, rue Slater
 Ottawa, (Ontario)  K1A 1K3",
Farm Credit Canada,FCC,Farm Credit Canada,http://www.fcc-fac.ca/en/,Financement agricole Canada,FAC,Financement agricole Canada,http://www.fcc-fac.ca/fr/index.asp,23,306-780-8668,306-780-6704,veronica.bosche@fcc-fac.ca,"Veronica Bosche
 Access to Information and Privacy Coordinator
 1800 Hamilton Street
 P.O. Box 4320
 Regina, Saskatchewan  S4P 4L3","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1800, rue Hamilton 
C.P. 4320
 Regina, (Saskatchewan)  S4P 4L3",
Farm Products Council of Canada,FPCC,Farm Products Council of Canada,http://fpcc-cpac.gc.ca/index.php/eng,Conseil des produits agricoles du Canada,CPAC,Conseil des produits agricoles du Canada,http://fpcc-cpac.gc.ca/index.php/fra,200,613-759-1555,613-759-1566,Lise.Leduc@agr.gc.ca,"Lise Leduc
 Access to Information and Privacy Coordinator
 Central Experimental Farm
 960 Carling Avenue, Building 59
 Ottawa, Ontario  K1A 0C6","Lise Leduc
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Ferme Expérimental 
960 avenue Carling, Édifice 59
 Ottawa, (Ontario)  K1A 0C6",
Federal Bridge Corporation,FBCL,Federal Bridge Corporation Limited,http://www.federalbridge.ca/Default.aspx?tabid=36,Société des ponts fédéraux,SPFL,La Société des ponts fédéraux Limitée,http://www.pontsfederaux.ca/Default.aspx?tabid=135,254,613-993-5345,613-993-6945,jpigeon@federalbridge.ca,"Jacques Pigeon
 Access to Information and Privacy Coordinator
 55 Metcalfe Street, Suite 1210
 Ottawa, Ontario  K1P 6L5","Jacques Pigeon
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 55, rue Metcalfe, bureau 1210
 Ottawa, (Ontario)  K1P 6L5",
Federal Economic Development Agency for Southern Ontario,FedDev Ontario,FedDev Ontario,http://www.feddevontario.gc.ca/eic/site/723.nsf/eng/home,Agence fédérale de développement économique pour le Sud de l'Ontario,FedDev Ontario,FedDev Ontario,http://www.feddevontario.gc.ca/eic/site/723.nsf/fra/accueil,21,613-954-2880,613-952-9026,josee.riopel@feddevontario.gc.ca,"Josée Riopel
 Access to Information and Privacy Coordinator
 155 Queen Street, Room 1445, 14th Floor
 Ottawa, Ontario  K1A 0H5","Josée Riopel
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 155, rue Queen, Pièce 1445, 14e étage
 Ottawa, (Ontario)  K1A 0H5",
Financial Consumer Agency of Canada,FCAC,Financial Consumer Agency of Canada,http://www.fcac-acfc.gc.ca/eng/Pages/home-accueil.aspx,Agence de la consommation en matière financière du Canada,ACFC,Agence de la consommation en matière financière du Canada,http://www.fcac-acfc.gc.ca/Fra/Pages/home-accueil.aspx,224,613-941-4239,613-941-1436,pacheco.martin@fcac-acfc.gc.ca,"Martin Pacheco
 Access to Information and Privacy Coordinator
 Enterprise Building
 427 Laurier Avenue West, 6th Floor
 Ottawa, Ontario  K1R 1B9","Martin Pacheco
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 Édifice Entreprise
 427, avenue Laurier Ouest, 6e étage
 Ottawa, (Ontario)  K1R 1B9",
Financial Transactions and Reports Analysis Centre of Canada,FINTRAC,Financial Transactions and Reports Analysis Centre of Canada,http://www.fintrac.gc.ca/intro-eng.asp,Centre d'analyse des opérations et déclarations financières du Canada,CANAFE,Centre d'analyse des opérations et déclarations financières du Canada,http://www.canafe.gc.ca/intro-fra.asp,127,613-943-4473,613-943-7931,john.widdis@fintrac-canafe.gc.ca,"John Widdis
 Access to Information and Privacy Coordinator
 234 Laurier Avenue West
 Ottawa, Ontario  K1P 1H7","John Widdis
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 234, avenue Laurier ouest
 Ottawa, (Ontario)  K1P 1H7",
First Nations Statistical Institute,FNSI,First Nations Statistical Institute,,Institut de la statistique des premières nations,ISPN,Institut de la statistique des Premières nations,,120,613-237-5812  Ext.503,--,mgarrow@firststats.ca,"Matthew Garrow
 Access to Information and Privacy Coordinator
 289 Ted Commanda Dr.
 Garden Village, Ontario  P2B 3K2","Matthew Garrow
 Coordinateur de l'accès à l'information et de la protection des renseignements personnels
 289, avenue Ted Commanda
 Garden Village, (Ontario)  P2B 3K2",
First Nations Tax Commission,FNTC,,http://fntc.ca/index.php,Commission de la fiscalité des premières nations,CFPN,,http://fntc.ca/fr/index.php,112,250-828-9855,250-828-9858,bmcgregor@fntc.ca,"Brenda McGregor
 Access to Information and Privacy Coordinator
 321 - 345 Yellowhead Highway
 Kamloops, British Columbia  V2H 1H1","Brenda McGregor
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 321 - 345 Yellowhead Highway
 Kamloops, (Colombie-Britannique)  V2H 1H1",
Fisheries and Oceans Canada,DFO,Fisheries and Oceans Canada,http://www.dfo-mpo.gc.ca/index-eng.htm,Pêches et Océans Canada,MPO,Pêches et Océans Canada,http://www.dfo-mpo.gc.ca/index-fra.htm,253,613-993-8937,613-998-1173,Marlene.Fournier@dfo-mpo.gc.ca,"Marlene Fournier
 Access to Information and Privacy Coordinator
 200 Kent Street, 4th Floor 
Ottawa, Ontario  K1A 0E6","Marlene Fournier
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 200, rue Kent, 4e étage
 Ottawa, (Ontario)  K1A 0E6",
"Foreign Affairs, Trade and Development Canada",DAFTD,"Foreign Affairs, Trade and Development Canada",http://www.international.gc.ca/international/index.aspx,"Affaires étrangères, Commerce et Développement Canada",MAECD,"Affaires étrangères, Commerce et Développement Canada",http://www.international.gc.ca/international/index.aspx?lang=fra,64,613-992-1425,613-995-0116,dcp@international.gc.ca,"Warren Mucci
 A/Access to Information and Privacy Coordinator
 Lester B. Pearson Building
 125 Sussex Drive, C4-209
 Ottawa, Ontario  K1A 0G2","Warren Mucci
 Coordonnateur par Intérim de l’accès à l’information et de la protection des renseignements personnels
 Édifice Lester B Pearson
 125, promenade Sussex, C4-209
 Ottawa, (Ontario)  K1A 0G2",
Freshwater Fish Marketing Corporation,FFMC,,http://www.freshwaterfish.com/,Office de commercialisation du poisson d'eau douce,OCPED,,http://www.freshwaterfish.com/fr/,252,204-983-4299,204-983-6497,wendy.matheson@freshwaterfish.com,"Wendy Matheson
 Access to Information and Privacy Coordinator
 1199 Plessis Road
 Winnipeg, Manitoba  R2C 3L4","Wendy Matheson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1199, chemin Plessis
 Winnipeg, (Manitoba)  R2C 3L4",
Great Lakes Pilotage Authority Canada,GLPA,Great Lakes Pilotage Authority,http://www.glpa-apgl.com/homePage_e.asp,Administration de pilotage des Grands Lacs Canada,APGL,Administration de Pilotage des Grands Lacs,http://www.glpa-apgl.com/homePage_f.asp,261,613-933-2991  Ext.208,613-932-3793,kpecore@glpa-apgl.com,"Kim Pecore
 Access to Information and Privacy Coordinator
 202 Pitt Street 
P.O. Box 95
 Cornwall, Ontario  K6H 5R9","Kim Pecore
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 202, rue Pitt
 C.P. 95
 Cornwall, (Ontario)  K6H 5R9",
Hazardous Materials Information Review Commission Canada,HMIRC,Hazardous Materials Information Review Commission,,Conseil de contrôle des renseignements relatifs aux matières dangereuses Canada,CCRMD,Conseil de contrôle des renseignements relatifs aux matières dangereuses,,49,613-946-3179,613-941-4541,amanda.wilson@hc-sc.gc.ca,"Amanda Wilson
 Access to Information and Privacy Coordinator
 Holland Cross, Tower B
 7th Floor, Suite 700, Room 741
 1600 Scott Street, Address locator: 3107A
 Ottawa, Ontario  K1A 0K9","Amanda Wilson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Holland Cross Tour B
 7ième étage, Suite 700, Salle 741
 1600, rue Scott, Indice de l'adresse 3107A
 Ottawa, (Ontario)  K1A 0K9",
Health Canada,HC,Health Canada,http://www.hc-sc.gc.ca/index-eng.php,Santé Canada,SC,Santé Canada,http://www.hc-sc.gc.ca/index-fra.php,271,613-946-3179,613-941-4541,amanda.wilson@hc-sc.gc.ca,"Amanda Wilson
 Access to Information and Privacy Coordinator
 Holland Cross, Tower B
 7th Floor, Suite 700, Room 741
 1600 Scott Street, Address locator: 3107A
 Ottawa, Ontario  K1A 0K9","Amanda Wilson
 Coordonnateur par Intérim de l'accès à l'information et de la protection des renseignements personnels
 Holland Cross Tour B
 7ième étage, Suite 700, Salle 741 
1600, rue Scott, Indice de l'adresse 3107A
 Ottawa, (Ontario)  K1A 0K9",
Employment and Social Development Canada,ESDC,Human Resources and Skills Development Canada,http://www.hrsdc.gc.ca/eng/home.shtml,Emploi et Développement social Canada,ESDC,Ressources humaines et Développement des compétences Canada,http://www.rhdcc.gc.ca/fra/accueil.shtml,141,819-934-8879,819-953-0659,jackie.holden@hrsdc-rhdsc.gc.ca,"Jackie Holden
 Access to Information and Privacy Coordinator
 Phase IV, Level 1, Mail Stop 112
 140 Promenade du Portage
 Gatineau, Quebec  K1A 0J9","Jackie Holden
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 Phase IV, Niveau 1, Arrêt postal 112
 140, Promenade du Portage
 Gatineau, (Québec)  K1A 0J9",
