Organisation,Annee,Mois,Numero de la demande,Sommaire de la demande,Disposition,Nombre de pages
Transports Canada,2014,02,A-2012-01996,Notes d’information à l’intention du Ministre (forme définitive) du : 20 mars 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,65
Transports Canada,2014,02,A-2012-01997,Notes d’information à l’intention du Ministre (forme définitive) du : 21 mars 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,65
Transports Canada,2014,02,A-2012-01998,Notes d’information à l’intention du Ministre (forme définitive) du : 22 mars 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,5
Transports Canada,2014,02,A-2012-01999,Notes d’information à l’intention du Ministre (forme définitive) du : 23 mars 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,13
Transports Canada,2014,02,A-2012-02001,Notes d’information à l’intention du Ministre (forme définitive) du : 27 mars 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,35
Transports Canada,2014,02,A-2012-02002,Notes d’information à l’intention du Ministre (forme définitive) du : 28 mars 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,7
Transports Canada,2014,02,A-2012-02004,Notes d’information à l’intention du Ministre (forme définitive) du : 3 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,8
Transports Canada,2014,02,A-2012-02005,Notes d’information à l’intention du Ministre (forme définitive) du : 4 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,6
Transports Canada,2014,02,A-2012-02006,Notes d’information à l’intention du Ministre (forme définitive) du : 5 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,5
Transports Canada,2014,02,A-2012-02007,Notes d’information à l’intention du Ministre (forme définitive) du : 10 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Aucune communication (exemption),0
Transports Canada,2014,02,A-2012-02008,Notes d’information à l’intention du Ministre (forme définitive) du : 11 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,130
Transports Canada,2014,02,A-2012-02009,Notes d’information à l’intention du Ministre (forme définitive) du : 12 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,16
Transports Canada,2014,02,A-2012-02010,Notes d’information à l’intention du Ministre (forme définitive) du : 13 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,63
Transports Canada,2014,02,A-2012-02011,Notes d’information à l’intention du Ministre (forme définitive) du : 16 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,107
Transports Canada,2014,02,A-2012-02012,Notes d’information à l’intention du Ministre (forme définitive) du : 17 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,7
Transports Canada,2014,02,A-2012-02014,Notes d’information à l’intention du Ministre (forme définitive) du : 19 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,9
Transports Canada,2014,02,A-2012-02016,Notes d’information à l’intention du Ministre (forme définitive) du : 23 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,14
Transports Canada,2014,02,A-2012-02017,Notes d’information à l’intention du Ministre (forme définitive) du : 24 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,11
Transports Canada,2014,02,A-2012-02018,Notes d’information à l’intention du Ministre (forme définitive) du : 25 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,3
Transports Canada,2014,02,A-2012-02019,Notes d’information à l’intention du Ministre (forme définitive) du : 26 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,31
Transports Canada,2014,02,A-2012-02020,Notes d’information à l’intention du Ministre (forme définitive) du : 27 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,10
Transports Canada,2014,02,A-2012-02021,Notes d’information à l’intention du Ministre (forme définitive) du : 30 avril 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,24
Transports Canada,2014,02,A-2012-02022,Notes d’information à l’intention du Ministre (forme définitive) du : 1er mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,16
Transports Canada,2014,02,A-2012-02024,Notes d’information à l’intention du Ministre (forme définitive) du : 4 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02025,Notes d’information à l’intention du Ministre (forme définitive) du : 7 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02027,Notes d’information à l’intention du Ministre (forme définitive) du : 9 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,53
Transports Canada,2014,02,A-2012-02028,Notes d’information à l’intention du Ministre (forme définitive) du : 10 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,11
Transports Canada,2014,02,A-2012-02029,Notes d’information à l’intention du Ministre (forme définitive) du : 11 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02030,Notes d’information à l’intention du Ministre (forme définitive) du : 14 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,6
Transports Canada,2014,02,A-2012-02031,Notes d’information à l’intention du Ministre (forme définitive) du : 15 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,4
Transports Canada,2014,02,A-2012-02032,Notes d’information à l’intention du Ministre (forme définitive) du : 16 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,17
Transports Canada,2014,02,A-2012-02033,Notes d’information à l’intention du Ministre (forme définitive) du : 17 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,65
Transports Canada,2014,02,A-2012-02034,Notes d’information à l’intention du Ministre (forme définitive) du : 18 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,4
Transports Canada,2014,02,A-2012-02035,Notes d’information à l’intention du Ministre (forme définitive) du : 23 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,24
Transports Canada,2014,02,A-2012-02036,Notes d’information à l’intention du Ministre (forme définitive) du : 24 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,1
Transports Canada,2014,02,A-2012-02037,Notes d’information à l’intention du Ministre (forme définitive) du : 25 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,38
Transports Canada,2014,02,A-2012-02038,Notes d’information à l’intention du Ministre (forme définitive) du : 28 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,4
Transports Canada,2014,02,A-2012-02039,Notes d’information à l’intention du Ministre (forme définitive) du : 29 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,21
Transports Canada,2014,02,A-2012-02041,Notes d’information à l’intention du Ministre (forme définitive) du : 31 mai 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02042,Notes d’information à l’intention du Ministre (forme définitive) du : 1er juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,6
Transports Canada,2014,02,A-2012-02043,Notes d’information à l’intention du Ministre (forme définitive) du : 4 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,12
Transports Canada,2014,02,A-2012-02044,Notes d’information à l’intention du Ministre (forme définitive) du : 5 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,117
Transports Canada,2014,02,A-2012-02045,Notes d’information à l’intention du Ministre (forme définitive) du : 6 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02046,Notes d’information à l’intention du Ministre (forme définitive) du : 7 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,4
Transports Canada,2014,02,A-2012-02047,Notes d’information à l’intention du Ministre (forme définitive) du : 11 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,98
Transports Canada,2014,02,A-2012-02049,Notes d’information à l’intention du Ministre (forme définitive) du : 13 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,34
Transports Canada,2014,02,A-2012-02050,Notes d’information à l’intention du Ministre (forme définitive) du : 14 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,5
Transports Canada,2014,02,A-2012-02051,Notes d’information à l’intention du Ministre (forme définitive) du : 15 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,8
Transports Canada,2014,02,A-2012-02052,Notes d’information à l’intention du Ministre (forme définitive) du : 18 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,5
Transports Canada,2014,02,A-2012-02053,Notes d’information à l’intention du Ministre (forme définitive) du : 19 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,11
Transports Canada,2014,02,A-2012-02054,Notes d’information à l’intention du Ministre (forme définitive) du : 20 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,3
Transports Canada,2014,02,A-2012-02055,Notes d’information à l’intention du Ministre (forme définitive) du : 21 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,17
Transports Canada,2014,02,A-2012-02056,Notes d’information à l’intention du Ministre (forme définitive) du : 22 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,4
Transports Canada,2014,02,A-2012-02057,Notes d’information à l’intention du Ministre (forme définitive) du : 25 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,25
Transports Canada,2014,02,A-2012-02058,Notes d’information à l’intention du Ministre (forme définitive) du : 26 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,84
Transports Canada,2014,02,A-2012-02059,Notes d’information à l’intention du Ministre (forme définitive) du : 27 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,3
Transports Canada,2014,02,A-2012-02060,Notes d’information à l’intention du Ministre (forme définitive) du : 28 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,12
Transports Canada,2014,02,A-2012-02061,Notes d’information à l’intention du Ministre (forme définitive) du : 29 juin 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,5
Transports Canada,2014,02,A-2012-02062,Notes d’information à l’intention du Ministre (forme définitive) du : 3 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,36
Transports Canada,2014,02,A-2012-02063,Notes d’information à l’intention du Ministre (forme définitive) du : 4 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,26
Transports Canada,2014,02,A-2012-02064,Notes d’information à l’intention du Ministre (forme définitive) du : 5 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,22
Transports Canada,2014,02,A-2012-02065,Notes d’information à l’intention du Ministre (forme définitive) du : 6 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,5
Transports Canada,2014,02,A-2012-02067,Notes d’information à l’intention du Ministre (forme définitive) du : 10 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02069,Notes d’information à l’intention du Ministre (forme définitive) du : 12 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,25
Transports Canada,2014,02,A-2012-02070,Notes d’information à l’intention du Ministre (forme définitive) du : 13 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,9
Transports Canada,2014,02,A-2012-02071,Notes d’information à l’intention du Ministre (forme définitive) du : 16 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,4
Transports Canada,2014,02,A-2012-02072,Notes d’information à l’intention du Ministre (forme définitive) du : 19 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02073,Notes d’information à l’intention du Ministre (forme définitive) du : 20 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,8
Transports Canada,2014,02,A-2012-02074,Notes d’information à l’intention du Ministre (forme définitive) du : 23 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02075,Notes d’information à l’intention du Ministre (forme définitive) du : 24 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,18
Transports Canada,2014,02,A-2012-02076,Notes d’information à l’intention du Ministre (forme définitive) du : 25 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02077,Notes d’information à l’intention du Ministre (forme définitive) du : 26 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,6
Transports Canada,2014,02,A-2012-02078,Notes d’information à l’intention du Ministre (forme définitive) du : 27 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02079,Notes d’information à l’intention du Ministre (forme définitive) du : 30 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,5
Transports Canada,2014,02,A-2012-02080,Notes d’information à l’intention du Ministre (forme définitive) du : 31 juillet 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,82
Transports Canada,2014,02,A-2012-02081,Notes d’information à l’intention du Ministre (forme définitive) du : 1er août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,2
Transports Canada,2014,02,A-2012-02082,Notes d’information à l’intention du Ministre (forme définitive) du : 2 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,29
Transports Canada,2014,02,A-2012-02083,Notes d’information à l’intention du Ministre (forme définitive) du : 3 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,32
Transports Canada,2014,02,A-2012-02084,Notes d’information à l’intention du Ministre (forme définitive) du : 7 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,13
Transports Canada,2014,02,A-2012-02085,Notes d’information à l’intention du Ministre (forme définitive) du : 8 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,5
Transports Canada,2014,02,A-2012-02086,Notes d’information à l’intention du Ministre (forme définitive) du : 9 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,9
Transports Canada,2014,02,A-2012-02088,Notes d’information à l’intention du Ministre (forme définitive) du : 13 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,11
Transports Canada,2014,02,A-2012-02089,Notes d’information à l’intention du Ministre (forme définitive) du : 14 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,16
Transports Canada,2014,02,A-2012-02090,Notes d’information à l’intention du Ministre (forme définitive) du : 15 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,23
Transports Canada,2014,02,A-2012-02091,Notes d’information à l’intention du Ministre (forme définitive) du : 17 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Aucune communication (exemption),0
Transports Canada,2014,02,A-2012-02095,Notes d’information à l’intention du Ministre (forme définitive) du : 27 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,2
Transports Canada,2014,02,A-2012-02097,Notes d’information à l’intention du Ministre (forme définitive) du : 31 août 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,16
Transports Canada,2014,02,A-2012-02098,Notes d’information à l’intention du Ministre (forme définitive) du : 4 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02099,Notes d’information à l’intention du Ministre (forme définitive) du : 5 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,6
Transports Canada,2014,02,A-2012-02100,Notes d’information à l’intention du Ministre (forme définitive) du : 6 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,10
Transports Canada,2014,02,A-2012-02104,Notes d’information à l’intention du Ministre (forme définitive) du : 12 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,7
Transports Canada,2014,02,A-2012-02105,Notes d’information à l’intention du Ministre (forme définitive) du : 13 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,3
Transports Canada,2014,02,A-2012-02106,Notes d’information à l’intention du Ministre (forme définitive) du : 14 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,3
Transports Canada,2014,02,A-2012-02107,Notes d’information à l’intention du Ministre (forme définitive) du : 17 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,276
Transports Canada,2014,02,A-2012-02108,Notes d’information à l’intention du Ministre (forme définitive) du : 18 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02109,Notes d’information à l’intention du Ministre (forme définitive) du : 19 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,4
Transports Canada,2014,02,A-2012-02110,Notes d’information à l’intention du Ministre (forme définitive) du : 20 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,3
Transports Canada,2014,02,A-2012-02112,Notes d’information à l’intention du Ministre (forme définitive) du : 24 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,44
Transports Canada,2014,02,A-2012-02113,Notes d’information à l’intention du Ministre (forme définitive) du : 25 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,8
Transports Canada,2014,02,A-2012-02114,Notes d’information à l’intention du Ministre (forme définitive) du : 26 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02115,Notes d’information à l’intention du Ministre (forme définitive) du : 27 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,4
Transports Canada,2014,02,A-2012-02116,Notes d’information à l’intention du Ministre (forme définitive) du : 28 septembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,82
Transports Canada,2014,02,A-2012-02118,Notes d’information à l’intention du Ministre (forme définitive) du : 2 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,3
Transports Canada,2014,02,A-2012-02120,Notes d’information à l’intention du Ministre (forme définitive) du : 4 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,136
Transports Canada,2014,02,A-2012-02122,Notes d’information à l’intention du Ministre (forme définitive) du : 9 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,1
Transports Canada,2014,02,A-2012-02123,Notes d’information à l’intention du Ministre (forme définitive) du : 10 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,3
Transports Canada,2014,02,A-2012-02124,Notes d’information à l’intention du Ministre (forme définitive) du : 11 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,5
Transports Canada,2014,02,A-2012-02126,Notes d’information à l’intention du Ministre (forme définitive) du : 16 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,26
Transports Canada,2014,02,A-2012-02128,Notes d’information à l’intention du Ministre (forme définitive) du : 18 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,43
Transports Canada,2014,02,A-2012-02129,Notes d’information à l’intention du Ministre (forme définitive) du : 19 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,32
Transports Canada,2014,02,A-2012-02130,Notes d’information à l’intention du Ministre (forme définitive) du : 24 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,26
Transports Canada,2014,02,A-2012-02131,Notes d’information à l’intention du Ministre (forme définitive) du : 25 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,15
Transports Canada,2014,02,A-2012-02132,Notes d’information à l’intention du Ministre (forme définitive) du : 26 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,33
Transports Canada,2014,02,A-2012-02134,Notes d’information à l’intention du Ministre (forme définitive) du : 30 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,4
Transports Canada,2014,02,A-2012-02135,Notes d’information à l’intention du Ministre (forme définitive) du : 31 octobre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,13
Transports Canada,2014,02,A-2012-02136,Notes d’information à l’intention du Ministre (forme définitive) du : 1er novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02137,Notes d’information à l’intention du Ministre (forme définitive) du : 2 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02138,Notes d’information à l’intention du Ministre (forme définitive) du : 5 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,8
Transports Canada,2014,02,A-2012-02139,Notes d’information à l’intention du Ministre (forme définitive) du : 6 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,9
Transports Canada,2014,02,A-2012-02140,Notes d’information à l’intention du Ministre (forme définitive) du : 7 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,31
Transports Canada,2014,02,A-2012-02141,Notes d’information à l’intention du Ministre (forme définitive) du : 8 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,15
Transports Canada,2014,02,A-2012-02142,Notes d’information à l’intention du Ministre (forme définitive) du : 9 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,1
Transports Canada,2014,02,A-2012-02143,Notes d’information à l’intention du Ministre (forme définitive) du : 14 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,37
Transports Canada,2014,02,A-2012-02146,Notes d’information à l’intention du Ministre (forme définitive) du : 21 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,7
Transports Canada,2014,02,A-2012-02148,Notes d’information à l’intention du Ministre (forme définitive) du : 23 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,2
Transports Canada,2014,02,A-2012-02149,Notes d’information à l’intention du Ministre (forme définitive) du : 26 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,7
Transports Canada,2014,02,A-2012-02151,Notes d’information à l’intention du Ministre (forme définitive) du : 28 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,92
Transports Canada,2014,02,A-2012-02152,Notes d’information à l’intention du Ministre (forme définitive) du : 29 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,6
Transports Canada,2014,02,A-2012-02153,Notes d’information à l’intention du Ministre (forme définitive) du : 30 novembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication totale,3
Transports Canada,2014,02,A-2012-02154,Notes d’information à l’intention du Ministre (forme définitive) du : 3 décembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,13
Transports Canada,2014,02,A-2012-02156,Notes d’information à l’intention du Ministre (forme définitive) du : 5 décembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,16
Transports Canada,2014,02,A-2012-02157,Notes d’information à l’intention du Ministre (forme définitive) du : 6 décembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,131
Transports Canada,2014,02,A-2012-02158,Notes d’information à l’intention du Ministre (forme définitive) du : 7 décembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Documents n'existent pas,0
Transports Canada,2014,02,A-2012-02159,Notes d’information à l’intention du Ministre (forme définitive) du : 13 décembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,7
Transports Canada,2014,02,A-2012-02160,Notes d’information à l’intention du Ministre (forme définitive) du : 14 décembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,10
Transports Canada,2014,02,A-2012-02161,Notes d’information à l’intention du Ministre (forme définitive) du : 17 décembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,3
Transports Canada,2014,02,A-2012-02163,Notes d’information à l’intention du Ministre (forme définitive) du : 20 décembre 2012. Veuillez exclure les documents confidentiels du Cabinet et les conseils juridiques.,Communication partielle,8
Transports Canada,2014,02,A-2013-00001,"Toute l’information concernant les inspections et les enquêtes sur les marchandises ou les matières dangereuses entre Transports Canada et Vector Aerospace, du 1er janvier 2009 au 27 mars 2013.",Communication partielle,59
Transports Canada,2014,02,A-2013-00077,Dossiers de 2012 et 2013 concernant l’agrandissement de l’aéroport Billy Bishop.,Communication partielle,293
Transports Canada,2014,02,A-2013-00242,Copie de recherche découlant du contrat Day Child Restraint Consulting Inc.,Communication partielle,461
Transports Canada,2014,02,A-2013-00345,"Proposition visant à déménager l’Organisation de l’aviation civile internationale à l’extérieur du Canada, au Qatar, entre le 1er septembre 2012 et aujourd’hui.",Communication partielle,21
Transports Canada,2014,02,A-2013-00414,"Permission accordée à la compagnie Montreal, Maine and Atlantic Railway pour la conduite d’un train avec un seul employé.",Documents n'existent pas,0
Transports Canada,2014,02,A-2013-00415,Évaluations des menaces et des risques utilisées pour autoriser un employé à conduire un train.,Documents n'existent pas,0
Transports Canada,2014,02,A-2013-00488,Accord de transfert entre le ministre des Transports et Summerside Port Corporation Inc.,Communication totale,347
Transports Canada,2014,02,A-2013-00533,Documents reliés au dossier d’enquête N5504 078164.,Communication partielle,291
Transports Canada,2014,02,A-2013-00571,Rapports concernant la sécurité ou l’état du pont Champlain.,Communication totale,101
